115	"Fullaway, D. T."	1924	"Fullaway, D. T. 1924. Annual report for calendar year 1923 Hawaiian Forester and Agriculturist 21:178-181"	"Fullaway 1924"
116	"Fullaway, D. T."	1923	"Fullaway, D. T. 1923. Report of the entomologist Report of the Board of Commissioners of Agriculture and Forestry of the Territory of Hawaii 1923:53-68"	"Fullaway 1923"
117	"Fullaway, D. T."	1922	"Fullaway, D. T. 1922. Division of entomology, Annual report of calendar year 1921 Hawaiian Forester and Agriculturist 19:103-105"	"Fullaway 1922"
118	"Fullaway, D. T."	1920	"Fullaway, D. T. 1920c. Division of entomology Hawaiian Forester and Agriculturist 17:133-135"	"Fullaway 1920c"
119	"Fullaway, D. T."	1920	"Fullaway, D. T. 1920d. The melonfly - its control in Hawaii by a parasite introduced from India Hawaiian Forester and Agriculturist 17:101-105"	"Fullaway 1920d"
120	"Gahan, A. B."	1913	"Gahan, A. B. 1913. New Ichneumonoidea parasitic on leaf-mining Diptera Canadian Entomologist 45:145-154"	"Gahan 1913"
121	"Gahan, A. B."	1915	"Gahan, A. B. 1915. A revision of the North American ichneumon-flies of the subfamily Opiinae Proceedings of the United States National Museum 49:63-95"	"Gahan 1915"
122	"Gahan, A. B."	1917	"Gahan, A. B. 1917. Descriptions of some new Hymenoptera Proceedings of the United States National Museum 53:201-204"	"Gahan 1917"
123	"Gahan, A. B."	1919	"Gahan, A. B. 1919. Descriptions of seven new species of Opius (Hymenoptera-Braconidae) Proceedings of the Entomological Society of Washington 21:161-170"	"Gahan 1919"
124	"Gahan, A. B."	1925	"Gahan, A. B. 1925. A second lot of parasitic Hymenoptera from the Philippines Philippine Journal of Science 27:83-109"	"Gahan 1925"
125	"Gahan, A. B."	1927	"Gahan, A. B. 1927. Miscellaneous descriptions of new parasitic Hymenoptera with some synonymical notes Proceedings of the United States National Museum 71:1-39"	"Gahan 1927"
126	"Gahan, A. B."	1930	"Gahan, A. B. 1930. Synonymical and descriptive notes on parasitic Hymenoptera. Braconidae Proceedings of the United States National Museum 77:1-5"	"Gahan 1930"
127	"Genduso, P."	1967	"Genduso, P. 1967. Attuale tecnica di allevamento dell'Opius concolor Szepl. siculus Mon. Bollettino dell'Istituto di Entomologia Agraria e dell'Osservatorio di Fitopatologia di Palermo 7:9-40"	"Genduso 1967"
128	"Gersdorf, E."	1960	"Gersdorf, E. 1960. Neue Beobachtungen ueber die Ruebenfliege (Pegomyia hyoscyami Pz.), ihre Parasiten und ihre Begleitfauna in Niedersachsen Zeitschrift fuer Angewandte Entomologie 47:377-415"	"Gersdorf 1960"
129	"Gersdorf, E."	1962	"Gersdorf, E. 1962. Beitrag ueber das Vorkommen einiger Dipteren-Parasiten, besonders Braconidae (Hymenoptera) und Staphylinidae (Coleoptera) Bericht der Naturhistorischen Gesellschaft zu Hannover 106:61-78"	"Gersdorf 1962"
